datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 14:42:28.375100,P13,GUI,3,1,high
2023-08-18 14:43:05.297983,P13,GUI,3,2,high
2023-08-18 14:43:38.985795,P13,GUI,3,3,high
2023-08-18 14:44:14.792199,P13,GUI,3,4,high
2023-08-18 14:44:48.548465,P13,GUI,3,5,high
2023-08-18 14:45:21.646975,P13,GUI,3,6,high
2023-08-18 14:45:56.469428,P13,GUI,3,7,high
2023-08-18 14:46:32.078869,P13,GUI,3,8,high
2023-08-18 14:47:08.146753,P13,GUI,3,9,high
2023-08-18 14:47:44.704318,P13,GUI,3,10,high
