datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 10:22:28.887874,P17,GUI,1,1,low
2023-08-19 10:23:10.396319,P17,GUI,1,2,low
2023-08-19 10:23:49.221998,P17,GUI,1,3,low
2023-08-19 10:24:28.057812,P17,GUI,1,4,low
2023-08-19 10:25:05.663843,P17,GUI,1,5,low
2023-08-19 10:25:43.219212,P17,GUI,1,6,low
2023-08-19 10:26:20.158622,P17,GUI,1,7,low
2023-08-19 10:26:56.580444,P17,GUI,1,8,low
2023-08-19 10:27:31.402075,P17,GUI,1,9,low
2023-08-19 10:28:06.749733,P17,GUI,1,10,low
