datetime,participant,modality,session,box,uncertaintylevel
2023-08-22 10:46:11.671575,P29,GUI,3,1,high
2023-08-22 10:46:50.316329,P29,GUI,3,2,high
2023-08-22 10:47:26.219511,P29,GUI,3,3,high
2023-08-22 10:48:05.482509,P29,GUI,3,4,high
2023-08-22 10:48:44.087892,P29,GUI,3,5,high
2023-08-22 10:49:24.318274,P29,GUI,3,6,high
2023-08-22 10:50:00.405371,P29,GUI,3,7,high
2023-08-22 10:50:35.078352,P29,GUI,3,8,high
2023-08-22 10:51:12.365525,P29,GUI,3,9,high
2023-08-22 10:51:49.600062,P29,GUI,3,10,high
