datetime,participant,modality,session,box,uncertaintylevel
2023-08-22 16:53:55.472420,P32,EMBODIED,1,1,low
2023-08-22 16:54:55.290040,P32,EMBODIED,1,2,low
2023-08-22 16:55:35.835106,P32,EMBODIED,1,3,low
2023-08-22 16:56:28.444964,P32,EMBODIED,1,4,low
2023-08-22 16:57:08.198571,P32,EMBODIED,1,5,low
2023-08-22 16:57:50.889775,P32,EMBODIED,1,6,low
2023-08-22 16:58:46.310579,P32,EMBODIED,1,7,low
2023-08-22 16:59:29.683043,P32,EMBODIED,1,8,low
2023-08-22 17:00:13.090868,P32,EMBODIED,1,9,low
2023-08-22 17:00:50.906252,P32,EMBODIED,1,10,low
