datetime,participant,modality,session,box,uncertaintylevel
2023-08-17 14:39:21.356468,P6,EMBODIED,2,1,no
2023-08-17 14:39:59.031263,P6,EMBODIED,2,2,no
2023-08-17 14:40:37.197149,P6,EMBODIED,2,3,no
2023-08-17 14:41:19.102808,P6,EMBODIED,2,4,no
2023-08-17 14:41:55.217761,P6,EMBODIED,2,5,no
2023-08-17 14:42:33.554197,P6,EMBODIED,2,6,no
2023-08-17 14:43:12.477985,P6,EMBODIED,2,7,no
2023-08-17 14:43:50.309374,P6,EMBODIED,2,8,no
2023-08-17 14:44:26.186109,P6,EMBODIED,2,9,no
2023-08-17 14:45:04.365504,P6,EMBODIED,2,10,no
