datetime,participant,modality,session,box,uncertaintylevel
2023-08-21 10:11:16.300688,P23,GUI,1,1,high
2023-08-21 10:12:00.125171,P23,GUI,1,2,high
2023-08-21 10:12:37.463756,P23,GUI,1,3,high
2023-08-21 10:13:23.365509,P23,GUI,1,4,high
2023-08-21 10:13:58.794310,P23,GUI,1,5,high
2023-08-21 10:14:34.347306,P23,GUI,1,6,high
2023-08-21 10:15:21.111438,P23,GUI,1,7,high
2023-08-21 10:15:54.950004,P23,GUI,1,8,high
2023-08-21 10:16:30.870337,P23,GUI,1,9,high
2023-08-21 10:17:09.343081,P23,GUI,1,10,high
