datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 16:02:16.793147,P21,GUI,3,1,low
2023-08-19 16:02:55.551799,P21,GUI,3,2,low
2023-08-19 16:03:33.192608,P21,GUI,3,3,low
2023-08-19 16:04:15.847072,P21,GUI,3,4,low
2023-08-19 16:04:56.469450,P21,GUI,3,5,low
2023-08-19 16:05:35.628496,P21,GUI,3,6,low
2023-08-19 16:06:15.353955,P21,GUI,3,7,low
2023-08-19 16:06:54.986425,P21,GUI,3,8,low
2023-08-19 16:07:32.056911,P21,GUI,3,9,low
2023-08-19 16:08:10.109179,P21,GUI,3,10,low
