datetime,participant,modality,session,box,uncertaintylevel
2023-08-21 15:55:31.902461,P26,EMBODIED,2,1,low
2023-08-21 15:56:09.857222,P26,EMBODIED,2,2,low
2023-08-21 15:56:45.090150,P26,EMBODIED,2,3,low
2023-08-21 15:57:35.635562,P26,EMBODIED,2,4,low
2023-08-21 15:58:12.617197,P26,EMBODIED,2,5,low
2023-08-21 15:58:48.433647,P26,EMBODIED,2,6,low
2023-08-21 15:59:35.910674,P26,EMBODIED,2,7,low
2023-08-21 16:00:09.676584,P26,EMBODIED,2,8,low
2023-08-21 16:00:44.444325,P26,EMBODIED,2,9,low
2023-08-21 16:01:20.751885,P26,EMBODIED,2,10,low
