datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 14:30:31.831992,P13,GUI,2,1,low
2023-08-18 14:31:09.597932,P13,GUI,2,2,low
2023-08-18 14:31:45.928190,P13,GUI,2,3,low
2023-08-18 14:32:19.429355,P13,GUI,2,4,low
2023-08-18 14:32:54.760205,P13,GUI,2,5,low
2023-08-18 14:33:30.673337,P13,GUI,2,6,low
2023-08-18 14:34:07.111581,P13,GUI,2,7,low
2023-08-18 14:34:45.100248,P13,GUI,2,8,low
2023-08-18 14:35:31.206924,P13,GUI,2,9,low
2023-08-18 14:36:08.615014,P13,GUI,2,10,low
