datetime,participant,modality,session,box,uncertaintylevel
2023-08-16 17:14:14.479983,P2,EMBODIED,3,1,high
2023-08-16 17:15:02.205235,P2,EMBODIED,3,2,high
2023-08-16 17:15:46.021870,P2,EMBODIED,3,3,high
2023-08-16 17:16:24.794486,P2,EMBODIED,3,4,high
2023-08-16 17:17:09.738363,P2,EMBODIED,3,5,high
2023-08-16 17:17:54.181193,P2,EMBODIED,3,6,high
2023-08-16 17:18:28.927848,P2,EMBODIED,3,7,high
2023-08-16 17:19:12.221369,P2,EMBODIED,3,8,high
2023-08-16 17:19:59.896528,P2,EMBODIED,3,9,high
2023-08-16 17:20:45.470532,P2,EMBODIED,3,10,high
