datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 17:55:03.738182,P22,EMBODIED,3,1,low
2023-08-19 17:55:43.350658,P22,EMBODIED,3,2,low
2023-08-19 17:56:19.807343,P22,EMBODIED,3,3,low
2023-08-19 17:57:01.216609,P22,EMBODIED,3,4,low
2023-08-19 17:57:36.501087,P22,EMBODIED,3,5,low
2023-08-19 17:58:11.548128,P22,EMBODIED,3,6,low
2023-08-19 17:58:54.177916,P22,EMBODIED,3,7,low
2023-08-19 17:59:29.505459,P22,EMBODIED,3,8,low
2023-08-19 18:00:05.219718,P22,EMBODIED,3,9,low
2023-08-19 18:00:43.164482,P22,EMBODIED,3,10,low
