datetime,participant,modality,session,box,uncertaintylevel
2023-08-21 11:44:40.903914,P24,EMBODIED,1,1,high
2023-08-21 11:45:34.589501,P24,EMBODIED,1,2,high
2023-08-21 11:46:29.168580,P24,EMBODIED,1,3,high
2023-08-21 11:47:24.601244,P24,EMBODIED,1,4,high
2023-08-21 11:48:18.371731,P24,EMBODIED,1,5,high
2023-08-21 11:49:07.959493,P24,EMBODIED,1,6,high
2023-08-21 11:49:46.442010,P24,EMBODIED,1,7,high
2023-08-21 11:50:32.893902,P24,EMBODIED,1,8,high
2023-08-21 11:51:16.251232,P24,EMBODIED,1,9,high
2023-08-21 11:52:02.362988,P24,EMBODIED,1,10,high
