datetime,participant,modality,session,box,uncertaintylevel
2023-08-23 14:39:59.459025,P15,GUI,2,1,high
2023-08-23 14:40:46.394272,P15,GUI,2,2,high
2023-08-23 14:41:26.949845,P15,GUI,2,3,high
2023-08-23 14:42:05.253176,P15,GUI,2,4,high
2023-08-23 14:42:42.047134,P15,GUI,2,5,high
2023-08-23 14:43:24.489581,P15,GUI,2,6,high
2023-08-23 14:44:03.463762,P15,GUI,2,7,high
2023-08-23 14:44:39.492138,P15,GUI,2,8,high
2023-08-23 14:45:16.615405,P15,GUI,2,9,high
2023-08-23 14:45:56.847224,P15,GUI,2,10,high
