datetime,participant,modality,session,box,uncertaintylevel
2023-08-21 11:59:21.743748,P24,EMBODIED,2,1,low
2023-08-21 11:59:59.074577,P24,EMBODIED,2,2,low
2023-08-21 12:00:35.838412,P24,EMBODIED,2,3,low
2023-08-21 12:01:20.758084,P24,EMBODIED,2,4,low
2023-08-21 12:01:55.282674,P24,EMBODIED,2,5,low
2023-08-21 12:02:32.436207,P24,EMBODIED,2,6,low
2023-08-21 12:03:17.529373,P24,EMBODIED,2,7,low
2023-08-21 12:03:53.506922,P24,EMBODIED,2,8,low
2023-08-21 12:04:30.163815,P24,EMBODIED,2,9,low
2023-08-21 12:05:03.800079,P24,EMBODIED,2,10,low
