datetime,participant,modality,session,box,uncertaintylevel
2023-08-17 10:35:17.056504,P3,GUI,2,1,high
2023-08-17 10:35:56.197428,P3,GUI,2,2,high
2023-08-17 10:36:32.838213,P3,GUI,2,3,high
2023-08-17 10:37:09.623266,P3,GUI,2,4,high
2023-08-17 10:37:52.729110,P3,GUI,2,5,high
2023-08-17 10:38:31.562226,P3,GUI,2,6,high
2023-08-17 10:39:11.388784,P3,GUI,2,7,high
2023-08-17 10:39:46.545709,P3,GUI,2,8,high
2023-08-17 10:40:21.132664,P3,GUI,2,9,high
2023-08-17 10:40:58.202448,P3,GUI,2,10,high
