datetime,participant,modality,session,box,uncertaintylevel
2023-08-17 11:35:25.977925,P4,EMBODIED,1,1,no
2023-08-17 11:36:09.435010,P4,EMBODIED,1,2,no
2023-08-17 11:36:44.948942,P4,EMBODIED,1,3,no
2023-08-17 11:37:26.486948,P4,EMBODIED,1,4,no
2023-08-17 11:38:03.817267,P4,EMBODIED,1,5,no
2023-08-17 11:38:40.066161,P4,EMBODIED,1,6,no
2023-08-17 11:39:16.746739,P4,EMBODIED,1,7,no
2023-08-17 11:39:54.500601,P4,EMBODIED,1,8,no
2023-08-17 11:40:33.569757,P4,EMBODIED,1,9,no
2023-08-17 11:41:08.382520,P4,EMBODIED,1,10,no
