datetime,participant,modality,session,box,uncertaintylevel
2023-08-17 14:52:37.565559,P6,EMBODIED,3,1,high
2023-08-17 14:53:24.818841,P6,EMBODIED,3,2,high
2023-08-17 14:54:12.762152,P6,EMBODIED,3,3,high
2023-08-17 14:54:48.461240,P6,EMBODIED,3,4,high
2023-08-17 14:55:35.939323,P6,EMBODIED,3,5,high
2023-08-17 14:56:18.624801,P6,EMBODIED,3,6,high
2023-08-17 14:56:56.272902,P6,EMBODIED,3,7,high
2023-08-17 14:57:41.066859,P6,EMBODIED,3,8,high
2023-08-17 14:58:26.349588,P6,EMBODIED,3,9,high
2023-08-17 14:59:11.531386,P6,EMBODIED,3,10,high
