datetime,participant,modality,session,box,uncertaintylevel
2023-08-23 09:34:24.220448,P34,EMBODIED,3,1,low
2023-08-23 09:34:57.038228,P34,EMBODIED,3,2,low
2023-08-23 09:35:30.779090,P34,EMBODIED,3,3,low
2023-08-23 09:36:14.372640,P34,EMBODIED,3,4,low
2023-08-23 09:36:47.078750,P34,EMBODIED,3,5,low
2023-08-23 09:37:20.221248,P34,EMBODIED,3,6,low
2023-08-23 09:38:04.661016,P34,EMBODIED,3,7,low
2023-08-23 09:38:41.800132,P34,EMBODIED,3,8,low
2023-08-23 09:39:15.980731,P34,EMBODIED,3,9,low
2023-08-23 09:39:49.634961,P34,EMBODIED,3,10,low
