datetime,participant,modality,session,box,uncertaintylevel
2023-08-17 17:21:46.462217,P8,EMBODIED,3,1,no
2023-08-17 17:22:27.983268,P8,EMBODIED,3,2,no
2023-08-17 17:23:10.960331,P8,EMBODIED,3,3,no
2023-08-17 17:23:53.764847,P8,EMBODIED,3,4,no
2023-08-17 17:24:39.347395,P8,EMBODIED,3,5,no
2023-08-17 17:25:22.850956,P8,EMBODIED,3,6,no
2023-08-17 17:26:06.696036,P8,EMBODIED,3,7,no
2023-08-17 17:26:49.239793,P8,EMBODIED,3,8,no
2023-08-17 17:27:33.474420,P8,EMBODIED,3,9,no
2023-08-17 17:28:14.996490,P8,EMBODIED,3,10,no
