datetime,participant,modality,session,box,uncertaintylevel
2023-08-21 17:02:50.780566,P27,GUI,2,1,high
2023-08-21 17:03:31.453001,P27,GUI,2,2,high
2023-08-21 17:04:11.332163,P27,GUI,2,3,high
2023-08-21 17:04:50.259589,P27,GUI,2,4,high
2023-08-21 17:05:30.701555,P27,GUI,2,5,high
2023-08-21 17:06:10.178603,P27,GUI,2,6,high
2023-08-21 17:06:45.922750,P27,GUI,2,7,high
2023-08-21 17:07:23.058462,P27,GUI,2,8,high
2023-08-21 17:07:58.965886,P27,GUI,2,9,high
2023-08-21 17:08:35.408695,P27,GUI,2,10,high
