datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 13:24:02.612841,P19,GUI,1,1,low
2023-08-19 13:24:58.869665,P19,GUI,1,2,low
2023-08-19 13:25:42.000905,P19,GUI,1,3,low
2023-08-19 13:26:21.397634,P19,GUI,1,4,low
2023-08-19 13:26:59.515745,P19,GUI,1,5,low
2023-08-19 13:27:35.002069,P19,GUI,1,6,low
2023-08-19 13:28:15.617908,P19,GUI,1,7,low
2023-08-19 13:28:52.415968,P19,GUI,1,8,low
2023-08-19 13:29:32.464509,P19,GUI,1,9,low
2023-08-19 13:30:10.576847,P19,GUI,1,10,low
