datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 15:37:25.819495,P14,EMBODIED,1,1,no
2023-08-18 15:38:18.928130,P14,EMBODIED,1,2,no
2023-08-18 15:39:11.955166,P14,EMBODIED,1,3,no
2023-08-18 15:40:01.188725,P14,EMBODIED,1,4,no
2023-08-18 15:40:50.785880,P14,EMBODIED,1,5,no
2023-08-18 15:41:47.540422,P14,EMBODIED,1,6,no
2023-08-18 15:42:34.321233,P14,EMBODIED,1,7,no
2023-08-18 15:43:21.064578,P14,EMBODIED,1,8,no
2023-08-18 15:44:08.291811,P14,EMBODIED,1,9,no
2023-08-18 15:44:53.517389,P14,EMBODIED,1,10,no
