datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 11:52:38.599872,P18,EMBODIED,2,1,no
2023-08-19 11:53:14.792895,P18,EMBODIED,2,2,no
2023-08-19 11:53:50.344954,P18,EMBODIED,2,3,no
2023-08-19 11:54:25.599938,P18,EMBODIED,2,4,no
2023-08-19 11:54:59.850883,P18,EMBODIED,2,5,no
2023-08-19 11:55:35.001091,P18,EMBODIED,2,6,no
2023-08-19 11:56:08.839819,P18,EMBODIED,2,7,no
2023-08-19 11:56:42.053895,P18,EMBODIED,2,8,no
2023-08-19 11:57:23.461572,P18,EMBODIED,2,9,no
2023-08-19 11:58:00.620927,P18,EMBODIED,2,10,no
