datetime,participant,modality,session,box,uncertaintylevel
2023-08-23 09:23:07.054605,P34,EMBODIED,2,1,no
2023-08-23 09:23:40.832574,P34,EMBODIED,2,2,no
2023-08-23 09:24:17.579210,P34,EMBODIED,2,3,no
2023-08-23 09:24:51.775768,P34,EMBODIED,2,4,no
2023-08-23 09:25:27.264416,P34,EMBODIED,2,5,no
2023-08-23 09:26:00.799150,P34,EMBODIED,2,6,no
2023-08-23 09:26:38.433935,P34,EMBODIED,2,7,no
2023-08-23 09:27:15.536159,P34,EMBODIED,2,8,no
2023-08-23 09:27:51.039870,P34,EMBODIED,2,9,no
2023-08-23 09:28:25.051907,P34,EMBODIED,2,10,no
