datetime,participant,modality,session,box,uncertaintylevel
2023-08-16 17:01:12.444290,P2,EMBODIED,2,1,low
2023-08-16 17:01:56.447291,P2,EMBODIED,2,2,low
2023-08-16 17:02:36.372155,P2,EMBODIED,2,3,low
2023-08-16 17:03:22.996342,P2,EMBODIED,2,4,low
2023-08-16 17:04:00.855297,P2,EMBODIED,2,5,low
2023-08-16 17:04:37.437037,P2,EMBODIED,2,6,low
2023-08-16 17:05:24.654609,P2,EMBODIED,2,7,low
2023-08-16 17:06:01.043419,P2,EMBODIED,2,8,low
2023-08-16 17:06:42.533031,P2,EMBODIED,2,9,low
2023-08-16 17:07:20.753405,P2,EMBODIED,2,10,low
