datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 11:40:33.362228,P18,EMBODIED,1,1,low
2023-08-19 11:41:19.654600,P18,EMBODIED,1,2,low
2023-08-19 11:41:58.622147,P18,EMBODIED,1,3,low
2023-08-19 11:42:41.802539,P18,EMBODIED,1,4,low
2023-08-19 11:43:17.015553,P18,EMBODIED,1,5,low
2023-08-19 11:43:53.454959,P18,EMBODIED,1,6,low
2023-08-19 11:44:35.095047,P18,EMBODIED,1,7,low
2023-08-19 11:45:10.835850,P18,EMBODIED,1,8,low
2023-08-19 11:45:45.640282,P18,EMBODIED,1,9,low
2023-08-19 11:46:20.956004,P18,EMBODIED,1,10,low
