datetime,participant,modality,session,box,uncertaintylevel
2023-08-22 10:20:21.613064,P29,GUI,1,1,low
2023-08-22 10:21:10.279119,P29,GUI,1,2,low
2023-08-22 10:21:49.750991,P29,GUI,1,3,low
2023-08-22 10:22:28.460802,P29,GUI,1,4,low
2023-08-22 10:23:09.240641,P29,GUI,1,5,low
2023-08-22 10:23:49.401124,P29,GUI,1,6,low
2023-08-22 10:24:27.914344,P29,GUI,1,7,low
2023-08-22 10:25:04.821336,P29,GUI,1,8,low
2023-08-22 10:25:42.900504,P29,GUI,1,9,low
2023-08-22 10:26:22.603125,P29,GUI,1,10,low
