datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 13:06:46.046341,P12,EMBODIED,1,1,high
2023-08-18 13:07:37.068609,P12,EMBODIED,1,2,high
2023-08-18 13:08:20.849908,P12,EMBODIED,1,3,high
2023-08-18 13:08:56.143370,P12,EMBODIED,1,4,high
2023-08-18 13:09:39.124703,P12,EMBODIED,1,5,high
2023-08-18 13:10:22.681839,P12,EMBODIED,1,6,high
2023-08-18 13:10:57.714557,P12,EMBODIED,1,7,high
2023-08-18 13:11:40.209692,P12,EMBODIED,1,8,high
2023-08-18 13:12:24.346637,P12,EMBODIED,1,9,high
2023-08-18 13:13:07.885879,P12,EMBODIED,1,10,high
