datetime,participant,modality,session,box,uncertaintylevel
2023-08-21 17:14:55.896809,P27,GUI,3,1,low
2023-08-21 17:15:31.582548,P27,GUI,3,2,low
2023-08-21 17:16:09.034726,P27,GUI,3,3,low
2023-08-21 17:16:42.908526,P27,GUI,3,4,low
2023-08-21 17:17:19.518960,P27,GUI,3,5,low
2023-08-21 17:17:54.262173,P27,GUI,3,6,low
2023-08-21 17:18:29.234392,P27,GUI,3,7,low
2023-08-21 17:19:03.852731,P27,GUI,3,8,low
2023-08-21 17:19:40.239534,P27,GUI,3,9,low
2023-08-21 17:20:15.366745,P27,GUI,3,10,low
