datetime,participant,modality,session,box,uncertaintylevel
2023-08-17 13:34:51.105328,P5,GUI,3,1,high
2023-08-17 13:35:31.057096,P5,GUI,3,2,high
2023-08-17 13:36:10.790128,P5,GUI,3,3,high
2023-08-17 13:36:52.932513,P5,GUI,3,4,high
2023-08-17 13:37:35.913030,P5,GUI,3,5,high
2023-08-17 13:38:21.256214,P5,GUI,3,6,high
2023-08-17 13:39:02.879787,P5,GUI,3,7,high
2023-08-17 13:39:45.068857,P5,GUI,3,8,high
2023-08-17 13:40:27.326073,P5,GUI,3,9,high
2023-08-17 13:41:13.797158,P5,GUI,3,10,high
