datetime,participant,modality,session,box,uncertaintylevel
2023-08-23 12:04:48.749849,P36,EMBODIED,3,1,no
2023-08-23 12:05:22.460030,P36,EMBODIED,3,2,no
2023-08-23 12:05:57.085872,P36,EMBODIED,3,3,no
2023-08-23 12:06:37.259004,P36,EMBODIED,3,4,no
2023-08-23 12:07:14.389332,P36,EMBODIED,3,5,no
2023-08-23 12:07:51.392659,P36,EMBODIED,3,6,no
2023-08-23 12:08:26.700048,P36,EMBODIED,3,7,no
2023-08-23 12:09:02.651713,P36,EMBODIED,3,8,no
2023-08-23 12:09:38.478851,P36,EMBODIED,3,9,no
2023-08-23 12:10:16.967124,P36,EMBODIED,3,10,no
