datetime,participant,modality,session,box,uncertaintylevel
2023-08-23 11:38:07.659012,P36,EMBODIED,1,1,high
2023-08-23 11:38:56.725223,P36,EMBODIED,1,2,high
2023-08-23 11:39:44.239324,P36,EMBODIED,1,3,high
2023-08-23 11:40:24.801497,P36,EMBODIED,1,4,high
2023-08-23 11:41:10.644128,P36,EMBODIED,1,5,high
2023-08-23 11:41:54.552038,P36,EMBODIED,1,6,high
2023-08-23 11:42:30.151504,P36,EMBODIED,1,7,high
2023-08-23 11:43:16.139518,P36,EMBODIED,1,8,high
2023-08-23 11:44:14.496338,P36,EMBODIED,1,9,high
2023-08-23 11:45:00.303004,P36,EMBODIED,1,10,high
