datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 17:07:19.927950,P15,GUI,2,1,high
2023-08-18 17:08:06.685573,P15,GUI,2,2,high
2023-08-18 17:08:41.571858,P15,GUI,2,3,high
2023-08-18 17:09:20.372338,P15,GUI,2,4,high
2023-08-18 17:10:02.606286,P15,GUI,2,5,high
2023-08-18 17:10:38.386134,P15,GUI,2,6,high
2023-08-18 17:11:19.688869,P15,GUI,2,7,high
2023-08-18 17:11:56.727977,P15,GUI,2,8,high
2023-08-18 17:12:31.033079,P15,GUI,2,9,high
2023-08-18 17:13:15.972758,P15,GUI,2,10,high
