datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 13:37:25.165549,P19,GUI,2,1,high
2023-08-19 13:38:08.375364,P19,GUI,2,2,high
2023-08-19 13:38:53.505906,P19,GUI,2,3,high
2023-08-19 13:39:35.430258,P19,GUI,2,4,high
2023-08-19 13:40:15.102025,P19,GUI,2,5,high
2023-08-19 13:40:54.272995,P19,GUI,2,6,high
2023-08-19 13:41:30.280850,P19,GUI,2,7,high
2023-08-19 13:42:06.595447,P19,GUI,2,8,high
2023-08-19 13:42:43.502571,P19,GUI,2,9,high
2023-08-19 13:43:23.910714,P19,GUI,2,10,high
