datetime,participant,modality,session,box,uncertaintylevel
2023-08-16 14:59:22.356825,P1,GUI,3,1,high
2023-08-16 15:00:07.594500,P1,GUI,3,2,high
2023-08-16 15:00:54.394200,P1,GUI,3,3,high
2023-08-16 15:01:46.598428,P1,GUI,3,4,high
2023-08-16 15:02:28.679347,P1,GUI,3,5,high
2023-08-16 15:03:14.510221,P1,GUI,3,6,high
2023-08-16 15:03:57.466233,P1,GUI,3,7,high
2023-08-16 15:04:38.570152,P1,GUI,3,8,high
2023-08-16 15:05:21.622219,P1,GUI,3,9,high
2023-08-16 15:06:05.001257,P1,GUI,3,10,high
