datetime,participant,modality,session,box,uncertaintylevel
2023-08-21 12:10:52.683206,P24,EMBODIED,3,1,no
2023-08-21 12:11:33.507714,P24,EMBODIED,3,2,no
2023-08-21 12:12:07.717817,P24,EMBODIED,3,3,no
2023-08-21 12:12:46.693042,P24,EMBODIED,3,4,no
2023-08-21 12:13:21.467259,P24,EMBODIED,3,5,no
2023-08-21 12:13:58.903611,P24,EMBODIED,3,6,no
2023-08-21 12:14:34.375669,P24,EMBODIED,3,7,no
2023-08-21 12:15:10.390050,P24,EMBODIED,3,8,no
2023-08-21 12:15:45.310583,P24,EMBODIED,3,9,no
2023-08-21 12:16:21.142602,P24,EMBODIED,3,10,no
