datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 10:48:55.708764,P10,EMBODIED,3,1,low
2023-08-18 10:49:39.841427,P10,EMBODIED,3,2,low
2023-08-18 10:50:21.454566,P10,EMBODIED,3,3,low
2023-08-18 10:51:10.987090,P10,EMBODIED,3,4,low
2023-08-18 10:51:47.385735,P10,EMBODIED,3,5,low
2023-08-18 10:52:28.103017,P10,EMBODIED,3,6,low
2023-08-18 10:53:15.348680,P10,EMBODIED,3,7,low
2023-08-18 10:53:52.290136,P10,EMBODIED,3,8,low
2023-08-18 10:54:28.736069,P10,EMBODIED,3,9,low
2023-08-18 10:55:11.555981,P10,EMBODIED,3,10,low
