datetime,participant,modality,session,box,uncertaintylevel
2023-08-23 10:28:20.614821,P35,GUI,1,1,high
2023-08-23 10:29:21.969181,P35,GUI,1,2,high
2023-08-23 10:30:04.131287,P35,GUI,1,3,high
2023-08-23 10:30:42.230822,P35,GUI,1,4,high
2023-08-23 10:31:20.634065,P35,GUI,1,5,high
2023-08-23 10:31:59.474308,P35,GUI,1,6,high
2023-08-23 10:32:35.527529,P35,GUI,1,7,high
2023-08-23 10:33:22.928812,P35,GUI,1,8,high
2023-08-23 10:34:03.168845,P35,GUI,1,9,high
2023-08-23 10:34:43.962181,P35,GUI,1,10,high
