datetime,participant,modality,session,box,uncertaintylevel
2023-08-23 09:10:31.109840,P34,EMBODIED,1,1,high
2023-08-23 09:11:17.438910,P34,EMBODIED,1,2,high
2023-08-23 09:11:59.188172,P34,EMBODIED,1,3,high
2023-08-23 09:12:34.987353,P34,EMBODIED,1,4,high
2023-08-23 09:13:18.649097,P34,EMBODIED,1,5,high
2023-08-23 09:14:02.101304,P34,EMBODIED,1,6,high
2023-08-23 09:14:37.410679,P34,EMBODIED,1,7,high
2023-08-23 09:15:18.798718,P34,EMBODIED,1,8,high
2023-08-23 09:16:01.398235,P34,EMBODIED,1,9,high
2023-08-23 09:16:45.869156,P34,EMBODIED,1,10,high
