datetime,participant,modality,session,box,uncertaintylevel
2023-08-22 11:48:23.433197,P30,EMBODIED,2,1,no
2023-08-22 11:48:55.700359,P30,EMBODIED,2,2,no
2023-08-22 11:49:28.882136,P30,EMBODIED,2,3,no
2023-08-22 11:50:01.001825,P30,EMBODIED,2,4,no
2023-08-22 11:50:36.491049,P30,EMBODIED,2,5,no
2023-08-22 11:51:09.444311,P30,EMBODIED,2,6,no
2023-08-22 11:51:42.102811,P30,EMBODIED,2,7,no
2023-08-22 11:52:16.724537,P30,EMBODIED,2,8,no
2023-08-22 11:52:51.174467,P30,EMBODIED,2,9,no
2023-08-22 11:53:25.902738,P30,EMBODIED,2,10,no
