datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 10:20:22.933202,P10,EMBODIED,1,1,high
2023-08-18 10:21:30.415607,P10,EMBODIED,1,2,high
2023-08-18 10:22:23.311628,P10,EMBODIED,1,3,high
2023-08-18 10:23:06.826965,P10,EMBODIED,1,4,high
2023-08-18 10:24:00.302544,P10,EMBODIED,1,5,high
2023-08-18 10:24:50.101277,P10,EMBODIED,1,6,high
2023-08-18 10:25:32.213977,P10,EMBODIED,1,7,high
2023-08-18 10:26:20.208624,P10,EMBODIED,1,8,high
2023-08-18 10:27:07.834767,P10,EMBODIED,1,9,high
2023-08-18 10:27:56.022408,P10,EMBODIED,1,10,high
