datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 17:42:33.716246,P22,EMBODIED,2,1,no
2023-08-19 17:43:15.708248,P22,EMBODIED,2,2,no
2023-08-19 17:43:56.698644,P22,EMBODIED,2,3,no
2023-08-19 17:44:36.357685,P22,EMBODIED,2,4,no
2023-08-19 17:45:14.412163,P22,EMBODIED,2,5,no
2023-08-19 17:45:50.619715,P22,EMBODIED,2,6,no
2023-08-19 17:46:26.416886,P22,EMBODIED,2,7,no
2023-08-19 17:47:02.445621,P22,EMBODIED,2,8,no
2023-08-19 17:47:41.102314,P22,EMBODIED,2,9,no
2023-08-19 17:48:15.466631,P22,EMBODIED,2,10,no
