datetime,participant,modality,session,box,uncertaintylevel
2023-08-23 14:53:39.704857,P15,GUI,3,1,low
2023-08-23 14:54:18.785893,P15,GUI,3,2,low
2023-08-23 14:54:53.787315,P15,GUI,3,3,low
2023-08-23 14:55:29.470062,P15,GUI,3,4,low
2023-08-23 14:56:04.164286,P15,GUI,3,5,low
2023-08-23 14:56:41.001979,P15,GUI,3,6,low
2023-08-23 14:57:16.605355,P15,GUI,3,7,low
2023-08-23 14:57:52.063976,P15,GUI,3,8,low
2023-08-23 14:58:28.252796,P15,GUI,3,9,low
2023-08-23 14:59:08.256027,P15,GUI,3,10,low
