datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 12:03:46.833979,P18,EMBODIED,3,1,high
2023-08-19 12:04:28.325895,P18,EMBODIED,3,2,high
2023-08-19 12:05:09.923028,P18,EMBODIED,3,3,high
2023-08-19 12:05:44.630297,P18,EMBODIED,3,4,high
2023-08-19 12:06:28.094129,P18,EMBODIED,3,5,high
2023-08-19 12:07:09.766006,P18,EMBODIED,3,6,high
2023-08-19 12:07:46.629347,P18,EMBODIED,3,7,high
2023-08-19 12:08:30.958794,P18,EMBODIED,3,8,high
2023-08-19 12:09:16.200508,P18,EMBODIED,3,9,high
2023-08-19 12:09:58.868193,P18,EMBODIED,3,10,high
