datetime,participant,modality,session,box,uncertaintylevel
2023-08-19 10:46:08.906390,P17,GUI,3,1,high
2023-08-19 10:46:48.938090,P17,GUI,3,2,high
2023-08-19 10:47:26.595804,P17,GUI,3,3,high
2023-08-19 10:48:12.080148,P17,GUI,3,4,high
2023-08-19 10:48:49.782053,P17,GUI,3,5,high
2023-08-19 10:49:26.159443,P17,GUI,3,6,high
2023-08-19 10:50:02.729526,P17,GUI,3,7,high
2023-08-19 10:50:40.192384,P17,GUI,3,8,high
2023-08-19 10:51:18.285094,P17,GUI,3,9,high
2023-08-19 10:51:54.454152,P17,GUI,3,10,high
