datetime,participant,modality,session,box,uncertaintylevel
2023-08-21 10:25:02.072971,P23,GUI,2,1,low
2023-08-21 10:25:43.194302,P23,GUI,2,2,low
2023-08-21 10:26:20.211768,P23,GUI,2,3,low
2023-08-21 10:26:58.125742,P23,GUI,2,4,low
2023-08-21 10:27:36.007756,P23,GUI,2,5,low
2023-08-21 10:28:14.949749,P23,GUI,2,6,low
2023-08-21 10:28:52.188889,P23,GUI,2,7,low
2023-08-21 10:29:28.274421,P23,GUI,2,8,low
2023-08-21 10:30:05.436133,P23,GUI,2,9,low
2023-08-21 10:30:44.099521,P23,GUI,2,10,low
