datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 12:09:53.456276,P11,GUI,2,1,low
2023-08-18 12:10:36.544932,P11,GUI,2,2,low
2023-08-18 12:11:27.363680,P11,GUI,2,3,low
2023-08-18 12:12:09.230357,P11,GUI,2,4,low
2023-08-18 12:12:47.674267,P11,GUI,2,5,low
2023-08-18 12:13:31.027675,P11,GUI,2,6,low
2023-08-18 12:14:11.704999,P11,GUI,2,7,low
2023-08-18 12:14:54.323629,P11,GUI,2,8,low
2023-08-18 12:15:37.853043,P11,GUI,2,9,low
2023-08-18 12:16:18.188965,P11,GUI,2,10,low
