datetime,participant,modality,session,box,uncertaintylevel
2023-08-18 10:35:03.328055,P10,EMBODIED,2,1,no
2023-08-18 10:36:07.455507,P10,EMBODIED,2,2,no
2023-08-18 10:36:56.829490,P10,EMBODIED,2,3,no
2023-08-18 10:37:47.627369,P10,EMBODIED,2,4,no
2023-08-18 10:38:28.309846,P10,EMBODIED,2,5,no
2023-08-18 10:39:13.182523,P10,EMBODIED,2,6,no
2023-08-18 10:39:53.580155,P10,EMBODIED,2,7,no
2023-08-18 10:40:37.806275,P10,EMBODIED,2,8,no
2023-08-18 10:41:17.612575,P10,EMBODIED,2,9,no
2023-08-18 10:42:00.056462,P10,EMBODIED,2,10,no
