datetime,participant,modality,session,box,uncertaintylevel
2023-08-17 17:07:03.293759,P8,EMBODIED,2,1,high
2023-08-17 17:07:53.166561,P8,EMBODIED,2,2,high
2023-08-17 17:08:40.906411,P8,EMBODIED,2,3,high
2023-08-17 17:09:36.647103,P8,EMBODIED,2,4,high
2023-08-17 17:10:26.728132,P8,EMBODIED,2,5,high
2023-08-17 17:11:18.974577,P8,EMBODIED,2,6,high
2023-08-17 17:12:04.701345,P8,EMBODIED,2,7,high
2023-08-17 17:12:55.594125,P8,EMBODIED,2,8,high
2023-08-17 17:13:43.577099,P8,EMBODIED,2,9,high
2023-08-17 17:14:34.688371,P8,EMBODIED,2,10,high
